Image,Title,Price,Rating,Result_Type
https://m.media-amazon.com/images/I/517m2WrmJxL._AC_UY218_.jpg,"Acer Aspire Lite Intel Core 3-100U Processor, Office 2024 + M365 Basic, 8GB RAM/256GB SSD, 15.6""/39.62 cm, FHD IPS Display,Win 11 Home, Steel Grey, 1.59Kg, AL15-53, Thin and Light Laptop","63,999",Not Available,Sponsored
https://m.media-amazon.com/images/I/71MAe4Du8uL._AC_UY218_.jpg,"ASUS Vivobook S16,Intel Core Ultra 5 225H,AI PC(Intel Arc iGPU/16GB RAM/512GB SSD/FHD/16/60Hz/Backlit Keyboard/70Whr/Windows 11/M365 Basic(1Year)*/Office Home 2024/Cool Silver/1.7 Kg) S3607CA-SH071WS","79,990",4.1 ,Sponsored
https://m.media-amazon.com/images/I/717WZ7WriwL._AC_UY218_.jpg,"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core i3/Core 3 100U Processor, 8GB DDR4, 512 SSD, 15.6"" FHD 120Hz IPS 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, Thin & Light 1.63Kg","46,490",4.1 ,Organic
https://m.media-amazon.com/images/I/61AccNkmFFL._AC_UY218_.jpg,"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","42,999",4.0 ,Organic
https://m.media-amazon.com/images/I/51LHNjAjH9L._AC_UY218_.jpg,"𝗗𝗲𝗹𝗹Laptop Model 5420 | 𝗜𝗡𝗧𝗘𝗟i5 11th Gen Processor |8GB DDR4 RAM |256GB SSD |14"" FHD Display | Win10 | A+ Condition Laptop (Refab)","31,990",5.0 ,Organic
https://m.media-amazon.com/images/I/718UBZxpxrL._AC_UY218_.jpg,"acer SmartChoice Aspire Lite, AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Thin and Light Laptop","45,990",4.0 ,Organic
https://m.media-amazon.com/images/I/41bdNUDc8pL._AC_UY218_.jpg,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","36,990",3.6 ,Organic
https://m.media-amazon.com/images/I/71rDlgf2Q6L._AC_UY218_.jpg,"HP 255R G10 Notebook (AMD Athlon Silver 7120U /8GB/512GB/DOS) 15.6-inch(39.6cm), Anti-Glare, HD Laptop, Radeon Graphics, Silver,1.52kg","40,550",Not Available,Organic
https://m.media-amazon.com/images/I/71vF+WK+vrL._AC_UY218_.jpg,"HP 15 (2026), Refrbishd AMD Ryzen 5 Hexa Core 7535U - (8 GB DDR5/512 GB SSD/) Thin and Light Business Laptop/15.6"" FHD Display/Turbo Silver/1.5kg","49,600",5.0 ,Organic
https://m.media-amazon.com/images/I/61BYfPSEqWL._AC_UY218_.jpg,"𝗛𝗣𝗲𝗹𝗶𝘁𝗲𝗯𝗼𝗼𝗸Model 440 G3 Business Laptop | InteI i5 6th Gen | 8GB RAM - 256GB SSD | 14"" FHD Display | Ultra Slim Silver Body | Win 10 | A+ Condition (Refab)","24,500",4.0 ,Organic
