Image,Title,Price,Rating,Result_Type
https://m.media-amazon.com/images/I/71vhdLDaDQL._AC_UY218_.jpg,"HP 15 Smartchoice, Intel Core Ultra 5 125H (24GB DDR5, 1TB SSD), Micro-Edge, Anti-Glare, FHD, 15''/39.6cm, Win11, M365* Office24, Silver, 1.65kg, FD1458TU, FHD Camera, Backlit Laptop","84,990",3.7 ,Ad
https://m.media-amazon.com/images/I/812Gk34kkML._AC_UY218_.jpg,"HP Omnibook 5 (Previously Pavilion), AMD Ryzen AI 7 350 (24GB LPDDR5x, 1TB SSD), 2k (1920 x 1200),Touch, Anti-Glare,16''/40.6cm, Win11, M365* Office24, Silver, 1.79kg, ag1087au, BL, Next Gen AI Laptop","98,990",Not Available,Ad
https://m.media-amazon.com/images/I/61AccNkmFFL._AC_UY218_.jpg,"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","42,999",4.0 ,Organic
https://m.media-amazon.com/images/I/61R5Ecv7i-L._AC_UY218_.jpg,"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU","50,040",4.2 ,Organic
https://m.media-amazon.com/images/I/717WZ7WriwL._AC_UY218_.jpg,"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core i3/Core 3 100U Processor, 8GB DDR4, 512 SSD, 15.6"" FHD 120Hz IPS 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, Thin & Light 1.63Kg","46,490",4.1 ,Organic
https://m.media-amazon.com/images/I/61LN3yfrpfL._AC_UY218_.jpg,"ASUS Vivobook 15, Smartchoice,Intel Core i3 13th Gen 1315U, 16GB RAM, 512GB SSD, FHD 15.6"", Touchscreen, Win11, Office 24, M365 Basic (1Y), Quiet Blue, 1.7Kg, X1504VA-E83959WS, Intel UHD iGPU, Laptop","54,990",4.3 ,Organic
https://m.media-amazon.com/images/I/71vF+WK+vrL._AC_UY218_.jpg,"HP 15 (2026), Refrbishd AMD Ryzen 5 Hexa Core 7535U - (8 GB DDR5/512 GB SSD/) Thin and Light Business Laptop/15.6"" FHD Display/Turbo Silver/1.5kg","49,400",5.0 ,Organic
https://m.media-amazon.com/images/I/71r2ySSfgBL._AC_UY218_.jpg,"HP Victus, AMD Ryzen 7 7445HS, 6GB RTX 4050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, IPS, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Blue, 2.29kg, fb3130AX, Backlit, DTS Audio, Gaming Laptop","89,990",4.2 ,Organic
https://m.media-amazon.com/images/I/71aup0IO2ZL._AC_UY218_.jpg,"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty","54,790",4.0 ,Organic
https://m.media-amazon.com/images/I/61ER6I1s9iL._AC_UY218_.jpg,"HP 15 Smartchoice, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr)*Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop","52,690",4.2 ,Organic
https://m.media-amazon.com/images/I/71ouu-iX3pL._AC_UY218_.jpg,"Acer Smartchoice Aspire One, AMD Ryzen 3-7320U, 8GB LPDDR5 RAM/ 256GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop","39,990",5.0 ,Ad
https://m.media-amazon.com/images/I/71N04uIPZDL._AC_UY218_.jpg,"HP OmniBook X Flip OLED (Previously Envy) Intel Core Ultra 5 226V, 40 Tops(16GB LPDDR5X,512GB SSD) 3K, Touch, 120hz,14''/35.6cm, Win11, Office24, Meteor Silver,1.38kg, fm0058TU,Pen, Next Gen AI Laptop","1,05,990",3.8 ,Ad
https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN","49,950",4.1 ,Organic
